epoch,train_loss,val_loss,val_auc,best_val_auc_so_far,epoch_seconds
1,0.19030079323882546,0.17684729830026946,0.6045292360914695,0.6045292360914695,404.86585211753845
2,0.18442172649901242,0.1762377000439984,0.6151360702909211,0.6151360702909211,403.8989586830139
3,0.1818488436432651,0.17737557099952303,0.6294989052700497,0.6294989052700497,405.46123242378235
4,0.17949712221919137,0.1747917634063847,0.6509188403278284,0.6509188403278284,404.67938780784607
5,0.17759132195580665,0.1742039541954216,0.6591346986205936,0.6591346986205936,404.39485907554626
6,0.1760983223436124,0.171830523147155,0.6702276111876946,0.6702276111876946,404.6992859840393
7,0.17474789362046225,0.17188054185992566,0.6767146836824163,0.6767146836824163,404.1767666339874
8,0.17367424477831198,0.1704450760075557,0.6909930683844395,0.6909930683844395,405.6492941379547
9,0.1725501820552165,0.16824961734260083,0.7020187360702316,0.7020187360702316,408.2976863384247
10,0.1715909029089992,0.16865834600413926,0.7044754576742863,0.7044754576742863,405.7302703857422
11,0.17063186834327257,0.16683125893443182,0.7124521175898515,0.7124521175898515,405.8181297779083
12,0.16974159579317874,0.16577795232502637,0.718629850993426,0.718629850993426,405.8475182056427
13,0.16868774280071308,0.16585583957623581,0.7228556914516021,0.7228556914516021,404.4828097820282
14,0.16774474571283765,0.1650362957426014,0.731971178422599,0.731971178422599,403.9947736263275
15,0.16696583668974285,0.16401944799648058,0.7388288359322349,0.7388288359322349,404.7993834018707
16,0.16583378794388698,0.16249749161935934,0.7422329416913155,0.7422329416913155,404.25279211997986
17,0.16511193713794342,0.16242918209050342,0.7482540602068621,0.7482540602068621,405.6249408721924
18,0.16412495705077132,0.16257089053562315,0.753132188977333,0.753132188977333,406.0734248161316
19,0.1633617051715618,0.1620148874846507,0.752498832023108,0.753132188977333,403.25453305244446
20,0.16268953776626333,0.16131968190457713,0.7558645825770276,0.7558645825770276,404.9887640476227
21,0.16149959679760018,0.1617578265328322,0.7541731513637607,0.7558645825770276,402.51743173599243
22,0.16099690296401148,0.16075770865336533,0.7589358188266137,0.7589358188266137,404.6822283267975
23,0.15994366545285413,0.16054372824426322,0.7580282579678805,0.7589358188266137,401.66470217704773
24,0.15935652701945371,0.15995635626463556,0.7652744813050233,0.7652744813050233,404.26984763145447
25,0.15863535261984574,0.1602646044291684,0.7633024563019342,0.7652744813050233,402.1774082183838
26,0.15805067035995346,0.16003696607846352,0.7643343479595813,0.7652744813050233,402.7576127052307
27,0.15760741166008196,0.1596379086052482,0.7647874818042368,0.7652744813050233,402.993727684021
28,0.15697586629003257,0.1595231465439457,0.7652894938069991,0.7652744813050233,402.4592254161835
