epoch,train_loss,val_loss,val_auc,best_val_auc_so_far,epoch_seconds
1,1.1010199820690882,0.9721536381814833,0.6289356423872784,0.6289356423872784,121.75981783866882
2,0.9604604876770025,0.8598719682696881,0.7349797169726991,0.7349797169726991,125.94461226463318
3,0.8964010494688864,0.8277950024836437,0.7643032216219706,0.7643032216219706,126.01912236213684
4,0.8654259610274532,0.8158308520962267,0.7728806993536577,0.7728806993536577,128.93135476112366
5,0.8448736397335397,0.8047531707920762,0.7818030321502174,0.7818030321502174,118.92802286148071
6,0.8268142296322722,0.8013268932215362,0.7812216169831128,0.7818030321502174,131.38066959381104
7,0.8154775091569565,0.7980179763093161,0.7875045922056998,0.7875045922056998,128.05783557891846
8,0.8027215165337662,0.796049909611226,0.7897774508013086,0.7897774508013086,116.6012351512909
9,0.7932246909135707,0.7957105650781937,0.7907188388211359,0.7897774508013086,124.88723301887512
10,0.783264611968998,0.7848814167152041,0.7950537950224322,0.7950537950224322,120.49027919769287
11,0.7697751504805995,0.7922027523621316,0.7959400466967177,0.7950537950224322,121.17366433143616
12,0.7590707668034486,0.793960567734779,0.7932143931477148,0.7950537950224322,117.97854828834534
13,0.7489108447802628,0.8084777234359076,0.7927262962112778,0.7950537950224322,121.85646891593933
14,0.7377821023146263,0.7949468809734406,0.7952687113088006,0.7950537950224322,120.11660313606262
