epoch,train_loss,val_loss,val_auc,best_val_auc_so_far,epoch_seconds
1,0.1946532924119234,0.17069825833016342,0.6727892851320604,0.6727892851320604,401.44084548950195
2,0.17143362079558402,0.1617008399858185,0.7361631950254407,0.7361631950254407,402.3103349208832
3,0.16489159481304347,0.1589180734272532,0.7715647282141429,0.7715647282141429,402.33466362953186
4,0.16159538622675318,0.1586048583812133,0.7728330682676051,0.7715647282141429,400.56038212776184
5,0.15851134482330398,0.15639107672301553,0.7827019847248119,0.7827019847248119,402.5251452922821
6,0.1559249452406091,0.15555583410232673,0.7860856505539926,0.7860856505539926,403.1043152809143
7,0.15341441286046517,0.1564102453143215,0.7882583077437689,0.7882583077437689,403.6878170967102
8,0.1512509633732807,0.15558238781218925,0.7897396414484928,0.7882583077437689,400.96062994003296
9,0.14821016479817384,0.15664442611421767,0.791548335557435,0.791548335557435,402.76688861846924
10,0.14504104484344177,0.15772996509348244,0.7894215509441969,0.791548335557435,400.2192702293396
11,0.1406364391167673,0.15853406769678505,0.7863730670156421,0.791548335557435,401.3753957748413
12,0.13565845401494178,0.16116564438027253,0.7834938344744542,0.791548335557435,404.93277883529663
13,0.1290344142132793,0.1656304459760869,0.775154799881766,0.791548335557435,401.37267303466797
